,num_variables,num_clauses,var_clause_rel,max_chain_length,num_qubits,variance
0,10,10,1.0,3,60,0.0
1,10,15,0.67,4,94,0.19
2,10,20,0.5,4,114,0.16551724137931034
3,10,25,0.4,5,168,0.16470588235294117
4,15,15,1.0,4,114,0.16551724137931034
5,15,20,0.75,5,168,0.16470588235294117
6,15,25,0.6,5,192,0.1641025641025641
7,15,30,0.5,6,260,0.17676767676767677
8,15,35,0.43,6,290,0.16326530612244897
9,15,40,0.38,7,375,0.1515151515151515
10,15,45,0.33,7,408,0.16271186440677965
11,20,30,0.67,6,290,0.16326530612244897
12,20,35,0.57,7,375,0.1515151515151515
