,vars,clauses,chain_strength,precision,max_coeff,var_clause_rel,max_chain_length,num_qubits,variance,ratio_sat
0,10,10,1.75,0.75,4.0,1.0,2,21,0.05,0.27
1,10,15,1.5,0.6,4.0,0.67,2,30,0.17,0.14
2,10,20,2.0,0.37,4.0,0.5,2,39,0.22,0.06
3,10,25,2.0,0.22,4.0,0.4,3,48,0.36,0.04
4,15,15,1.75,0.83,4.0,1.0,2,34,0.12,0.16
5,15,20,2.0,0.61,4.0,0.75,2,46,0.22,0.1
6,15,25,1.5,0.57,4.0,0.6,3,54,0.33,0.03
7,15,30,2.0,0.42,4.0,0.5,3,71,0.48,0.02
8,15,35,2.0,0.22,6.0,0.43,3,76,0.62,0.01
9,15,40,2.0,0.2,6.0,0.38,4,90,0.79,0.01
10,15,45,2.75,0.1,6.0,0.33,4,102,0.99,0.01
11,20,30,2.25,0.45,5.0,0.67,3,72,0.37,0.02
12,20,35,2.0,0.3,5.0,0.57,3,88,0.47,0.01
