,file,type,chain_strength,energy,input_values,qpu
0,p1,raw,1.5,4.0,"275124388938,101200697474",DW_2000Q_6
1,p1,raw,1.5,4.0,"1298391368,700418410633",DW_2000Q_6
2,p1,raw,1.5,6.0,"138128540762,54637627684",DW_2000Q_6
3,p1,raw,1.5,6.0,"911751596611,13851972633",DW_2000Q_6
4,p1,raw,1.5,8.0,"489788477705,555758649377",DW_2000Q_6
5,p1,raw,1.5,8.0,"559555363906,5285495206",DW_2000Q_6
6,p1,raw,1.5,8.0,"704615876643,42574283298",DW_2000Q_6
7,p1,raw,1.5,8.0,"18924033,279296625912",DW_2000Q_6
8,p1,raw,1.5,8.0,"326591769227,394461198",DW_2000Q_6
9,p1,raw,1.5,8.0,"911625687139,756417810",DW_2000Q_6
10,p1,raw,1.5,8.0,"155053015058,278660172738",DW_2000Q_6
11,p1,raw,1.5,8.0,"158359570,29396325126",DW_2000Q_6
12,p1,raw,1.5,8.0,"232082379625,825676532895",DW_2000Q_6
13,p1,raw,1.5,8.0,"721585984849,82709768774",DW_2000Q_6
14,p1,raw,1.5,8.0,"1048045642770,12694982666",DW_2000Q_6
15,p1,raw,1.5,8.0,"550695481410,279353921182",DW_2000Q_6
16,p1,raw,1.5,8.0,"69201514740,292295327754",DW_2000Q_6
17,p1,raw,1.5,8.0,"292395616145,10958407688",DW_2000Q_6
18,p1,raw,1.5,8.0,"554398914647,61828434994",DW_2000Q_6
19,p1,raw,1.5,10.0,"439187931458,562764513433",DW_2000Q_6
20,p1,raw,1.5,10.0,"208426025339,606797830",DW_2000Q_6
21,p1,raw,1.5,10.0,"408437106,151113608343",DW_2000Q_6
22,p1,raw,1.5,10.0,"416798610531,2089124246",DW_2000Q_6
23,p1,raw,1.5,10.0,"171821797442,839963333926",DW_2000Q_6
24,p1,raw,1.5,10.0,"492191170856,40268256920",DW_2000Q_6
25,p1,raw,1.5,10.0,"636379468178,151602759271",DW_2000Q_6
26,p1,raw,1.5,10.0,"515592030315,8340910358",DW_2000Q_6
27,p1,raw,1.5,10.0,"968971059406,1815783730",DW_2000Q_6
28,p1,raw,1.5,10.0,"863676680474,610936916",DW_2000Q_6
29,p1,raw,1.5,10.0,"11061075,7862968366",DW_2000Q_6
30,p1,raw,1.5,10.0,"437498288,42028105741",DW_2000Q_6
31,p1,raw,1.5,10.0,"22683451610,731155837706",DW_2000Q_6
32,p1,raw,1.5,10.0,"687345844290,12635605022",DW_2000Q_6
33,p1,raw,1.5,12.0,"68809164994,1680539672",DW_2000Q_6
34,p1,raw,1.5,12.0,"155145229890,291126321226",DW_2000Q_6
35,p1,raw,1.5,12.0,"619798595795,275220801800",DW_2000Q_6
36,p1,raw,1.5,12.0,"628829601858,17320905382",DW_2000Q_6
37,p1,raw,1.5,12.0,"756404688150,328582314498",DW_2000Q_6
38,p1,raw,1.5,12.0,"253995666378,275194135602",DW_2000Q_6
39,p1,raw,1.5,12.0,"379273380099,15357905433",DW_2000Q_6
40,p1,raw,1.5,12.0,"481123587090,14428539150",DW_2000Q_6
41,p1,raw,1.5,12.0,"79064733734,294493782040",DW_2000Q_6
42,p1,raw,1.5,12.0,"714385268898,309328500807",DW_2000Q_6
43,p1,raw,1.5,12.0,"147189336138,350604525910",DW_2000Q_6
44,p1,raw,1.5,12.0,"267522673515,550314197130",DW_2000Q_6
45,p1,raw,1.5,12.0,"451395240788,27583080673",DW_2000Q_6
46,p1,raw,1.5,12.0,"550160748738,2841690227",DW_2000Q_6
47,p1,raw,1.5,12.0,"25939821637,177920375217",DW_2000Q_6
48,p1,raw,1.5,12.0,"87798141715,453242930222",DW_2000Q_6
49,p1,raw,1.5,12.0,"842038707536,103955753054",DW_2000Q_6
50,p1,raw,1.5,12.0,"5644093854,879083258931",DW_2000Q_6
51,p1,raw,1.5,14.0,"550001385730,176180171418",DW_2000Q_6
52,p1,raw,1.5,14.0,"359788456731,705115198241",DW_2000Q_6
53,p1,raw,1.5,14.0,"206693642603,298171516928",DW_2000Q_6
54,p1,raw,1.5,14.0,"1278625121,142773125936",DW_2000Q_6
55,p1,raw,1.5,14.0,"158297314931,4967628810",DW_2000Q_6
56,p1,raw,1.5,14.0,"34732512306,868207911686",DW_2000Q_6
57,p1,raw,1.5,14.0,"360930788402,151634932502",DW_2000Q_6
58,p1,raw,1.5,14.0,"633061130570,311597642258",DW_2000Q_6
59,p1,raw,1.5,14.0,"77719408946,591883102210",DW_2000Q_6
60,p1,raw,1.5,14.0,"80254410,86289573902",DW_2000Q_6
61,p1,raw,1.5,14.0,"154676195370,836807557698",DW_2000Q_6
62,p1,raw,1.5,14.0,"122602091811,425756461138",DW_2000Q_6
63,p1,raw,1.5,14.0,"893361605706,1783685334",DW_2000Q_6
64,p1,raw,1.5,14.0,"140064868866,117667254698",DW_2000Q_6
65,p1,raw,1.5,14.0,"78360117659,137643034661",DW_2000Q_6
66,p1,raw,1.5,14.0,"28113208010,176232601719",DW_2000Q_6
67,p1,raw,1.5,16.0,"963170552122,26576815253",DW_2000Q_6
68,p1,raw,1.5,16.0,"560829825383,430111857162",DW_2000Q_6
69,p1,raw,1.5,16.0,"138181361687,634669502496",DW_2000Q_6
70,p1,raw,1.5,16.0,"18859707915,393201188886",DW_2000Q_6
71,p1,raw,1.5,16.0,"414773326,319590238466",DW_2000Q_6
72,p1,raw,1.5,16.0,"1031000482131,5732915329",DW_2000Q_6
73,p1,raw,1.5,16.0,"274968240758,665378638850",DW_2000Q_6
74,p1,raw,1.5,16.0,"594234377602,281524473874",DW_2000Q_6
75,p1,raw,1.5,16.0,"77664787923,36745924622",DW_2000Q_6
76,p1,raw,1.5,16.0,"620658483666,78278037547",DW_2000Q_6
77,p1,raw,1.5,16.0,"206852672347,281608339554",DW_2000Q_6
78,p1,raw,1.5,18.0,"636937765698,462365951064",DW_2000Q_6
79,p1,raw,1.5,18.0,"556242665571,1807355334",DW_2000Q_6
80,p1,raw,1.5,18.0,"276054417734,99273482266",DW_2000Q_6
81,p1,raw,1.5,18.0,"275036781318,27249336386",DW_2000Q_6
82,p1,raw,1.5,18.0,"412455408007,66171864857",DW_2000Q_6
83,p1,raw,1.5,18.0,"72315070402,309860286546",DW_2000Q_6
84,p1,raw,1.5,18.0,"69794664742,685175810243",DW_2000Q_6
85,p1,raw,1.5,18.0,"345147326529,576278961805",DW_2000Q_6
86,p1,raw,1.5,18.0,"72413823298,446936959494",DW_2000Q_6
87,p1,raw,1.5,18.0,"551985746715,431634428006",DW_2000Q_6
88,p1,raw,1.5,20.0,"79015461698,848727999666",DW_2000Q_6
89,p1,raw,1.5,20.0,"3091392714,1280853618",DW_2000Q_6
90,p1,raw,1.5,20.0,"146803287362,282598066255",DW_2000Q_6
91,p1,raw,1.5,20.0,"77517611342,453889229874",DW_2000Q_6
92,p1,raw,1.5,22.0,"430239269314,3201040430",DW_2000Q_6
93,p1,raw,1.5,22.0,"150559281274,278452124482",DW_2000Q_6
94,p1,raw,1.5,22.0,"71498736707,167578704150",DW_2000Q_6
95,p1,raw,1.5,22.0,"409248860059,9272084530",DW_2000Q_6
96,p1,raw,1.5,22.0,"27072268114,7215648803",DW_2000Q_6
97,p1,raw,1.5,22.0,"1264601918,445203611922",DW_2000Q_6
98,p1,raw,1.5,22.0,"26120364288,312746312226",DW_2000Q_6
99,p1,raw,1.5,24.0,"86103065362,174191600514",DW_2000Q_6
100,p1,pp_local_search,1.5,2.0,"492191170856,40268256920",DW_2000Q_6
101,p1,pp_local_search,1.5,2.0,"489788477705,555758649377",DW_2000Q_6
102,p1,pp_local_search,1.5,2.0,"208426025339,606797830",DW_2000Q_6
103,p1,pp_local_search,1.5,2.0,"437498288,42028105741",DW_2000Q_6
104,p1,pp_local_search,1.5,2.0,"359788456731,705115198241",DW_2000Q_6
105,p1,pp_local_search,1.5,2.0,"412455408007,66171864857",DW_2000Q_6
106,p1,pp_local_search,1.5,2.0,"18924033,279296625912",DW_2000Q_6
107,p1,pp_local_search,1.5,2.0,"963170552122,26576815253",DW_2000Q_6
108,p1,pp_local_search,1.5,2.0,"1298391368,700418410633",DW_2000Q_6
109,p1,pp_local_search,1.5,2.0,"275124388938,101200697474",DW_2000Q_6
110,p1,pp_local_search,1.5,4.0,"842038707536,103955753054",DW_2000Q_6
111,p1,pp_local_search,1.5,4.0,"911751596611,13851972633",DW_2000Q_6
112,p1,pp_local_search,1.5,4.0,"721585984849,82709768774",DW_2000Q_6
113,p1,pp_local_search,1.5,4.0,"550695481410,279353921182",DW_2000Q_6
114,p1,pp_local_search,1.5,4.0,"22683451610,731155837706",DW_2000Q_6
115,p1,pp_local_search,1.5,4.0,"25939821637,177920375217",DW_2000Q_6
116,p1,pp_local_search,1.5,4.0,"360930788402,151634932502",DW_2000Q_6
117,p1,pp_local_search,1.5,4.0,"80254410,86289573902",DW_2000Q_6
118,p1,pp_local_search,1.5,4.0,"77664787923,36745924622",DW_2000Q_6
119,p1,pp_local_search,1.5,4.0,"1278625121,142773125936",DW_2000Q_6
120,p1,pp_local_search,1.5,4.0,"636937765698,462365951064",DW_2000Q_6
121,p1,pp_local_search,1.5,4.0,"451395240788,27583080673",DW_2000Q_6
122,p1,pp_local_search,1.5,4.0,"559555363906,5285495206",DW_2000Q_6
123,p1,pp_local_search,1.5,4.0,"893361605706,1783685334",DW_2000Q_6
124,p1,pp_local_search,1.5,4.0,"68809164994,1680539672",DW_2000Q_6
125,p1,pp_local_search,1.5,4.0,"481123587090,14428539150",DW_2000Q_6
126,p1,pp_local_search,1.5,4.0,"704615876643,42574283298",DW_2000Q_6
127,p1,pp_local_search,1.5,4.0,"326591769227,394461198",DW_2000Q_6
128,p1,pp_local_search,1.5,4.0,"554398914647,61828434994",DW_2000Q_6
129,p1,pp_local_search,1.5,4.0,"633061130570,311597642258",DW_2000Q_6
130,p1,pp_local_search,1.5,4.0,"345147326529,576278961805",DW_2000Q_6
131,p1,pp_local_search,1.5,4.0,"1048045642770,12694982666",DW_2000Q_6
132,p1,pp_local_search,1.5,4.0,"158297314931,4967628810",DW_2000Q_6
133,p1,pp_local_search,1.5,4.0,"275036781318,27249336386",DW_2000Q_6
134,p1,pp_local_search,1.5,4.0,"756404688150,328582314498",DW_2000Q_6
135,p1,pp_local_search,1.5,4.0,"5644093854,879083258931",DW_2000Q_6
136,p1,pp_local_search,1.5,4.0,"3091392714,1280853618",DW_2000Q_6
137,p1,pp_local_search,1.5,4.0,"69794664742,685175810243",DW_2000Q_6
138,p1,pp_local_search,1.5,4.0,"69201514740,292295327754",DW_2000Q_6
139,p1,pp_local_search,1.5,4.0,"158359570,29396325126",DW_2000Q_6
140,p1,pp_local_search,1.5,4.0,"155053015058,278660172738",DW_2000Q_6
141,p1,pp_local_search,1.5,4.0,"138128540762,54637627684",DW_2000Q_6
142,p1,pp_local_search,1.5,4.0,"71498736707,167578704150",DW_2000Q_6
143,p1,pp_local_search,1.5,4.0,"619798595795,275220801800",DW_2000Q_6
144,p1,pp_local_search,1.5,4.0,"911625687139,756417810",DW_2000Q_6
145,p1,pp_local_search,1.5,4.0,"628829601858,17320905382",DW_2000Q_6
146,p1,pp_local_search,1.5,4.0,"78360117659,137643034661",DW_2000Q_6
147,p1,pp_local_search,1.5,4.0,"439187931458,562764513433",DW_2000Q_6
148,p1,pp_local_search,1.5,6.0,"414773326,319590238466",DW_2000Q_6
149,p1,pp_local_search,1.5,6.0,"171821797442,839963333926",DW_2000Q_6
150,p1,pp_local_search,1.5,6.0,"594234377602,281524473874",DW_2000Q_6
151,p1,pp_local_search,1.5,6.0,"276054483270,99273482266",DW_2000Q_6
152,p1,pp_local_search,1.5,6.0,"72315070402,309860286546",DW_2000Q_6
153,p1,pp_local_search,1.5,6.0,"79064733734,294493782040",DW_2000Q_6
154,p1,pp_local_search,1.5,6.0,"72413823298,446936959494",DW_2000Q_6
155,p1,pp_local_search,1.5,6.0,"968971059406,1815783730",DW_2000Q_6
156,p1,pp_local_search,1.5,6.0,"155145229890,291126321226",DW_2000Q_6
157,p1,pp_local_search,1.5,6.0,"11061075,7862968366",DW_2000Q_6
158,p1,pp_local_search,1.5,6.0,"206693642603,298171516930",DW_2000Q_6
159,p1,pp_local_search,1.5,6.0,"408437106,151113608343",DW_2000Q_6
160,p1,pp_local_search,1.5,6.0,"147189336138,350604525910",DW_2000Q_6
161,p1,pp_local_search,1.5,6.0,"138181361687,634669502496",DW_2000Q_6
162,p1,pp_local_search,1.5,6.0,"79015461698,848727999666",DW_2000Q_6
163,p1,pp_local_search,1.5,6.0,"140064868866,117667254698",DW_2000Q_6
164,p1,pp_local_search,1.5,6.0,"863676680474,610936916",DW_2000Q_6
165,p1,pp_local_search,1.5,6.0,"550160748738,2841690227",DW_2000Q_6
166,p1,pp_local_search,1.5,6.0,"154676195370,836807557698",DW_2000Q_6
167,p1,pp_local_search,1.5,6.0,"1031000482131,5732915329",DW_2000Q_6
168,p1,pp_local_search,1.5,6.0,"560829825383,430111857162",DW_2000Q_6
169,p1,pp_local_search,1.5,6.0,"687345844290,12635605022",DW_2000Q_6
170,p1,pp_local_search,1.5,6.0,"87798141715,453242930222",DW_2000Q_6
171,p1,pp_local_search,1.5,6.0,"232082379625,825676532895",DW_2000Q_6
172,p1,pp_local_search,1.5,6.0,"379273380099,15357905433",DW_2000Q_6
173,p1,pp_local_search,1.5,6.0,"18859707915,393201188886",DW_2000Q_6
174,p1,pp_local_search,1.5,6.0,"77517611342,453889229874",DW_2000Q_6
175,p1,pp_local_search,1.5,6.0,"253995666378,275194135602",DW_2000Q_6
176,p1,pp_local_search,1.5,6.0,"1264601918,445203611922",DW_2000Q_6
177,p1,pp_local_search,1.5,6.0,"636379468178,151602759271",DW_2000Q_6
178,p1,pp_local_search,1.5,6.0,"292395616145,10958407688",DW_2000Q_6
179,p1,pp_local_search,1.5,6.0,"515592030315,8340910358",DW_2000Q_6
180,p1,pp_local_search,1.5,6.0,"416798610531,2089124246",DW_2000Q_6
181,p1,pp_local_search,1.5,8.0,"409248860059,9272084530",DW_2000Q_6
182,p1,pp_local_search,1.5,8.0,"274968240758,665378638850",DW_2000Q_6
183,p1,pp_local_search,1.5,8.0,"206852672347,281608339554",DW_2000Q_6
184,p1,pp_local_search,1.5,8.0,"28113208010,176232601719",DW_2000Q_6
185,p1,pp_local_search,1.5,8.0,"122602091811,425756461138",DW_2000Q_6
186,p1,pp_local_search,1.5,8.0,"150559281274,278452124482",DW_2000Q_6
187,p1,pp_local_search,1.5,8.0,"26120364288,312746312226",DW_2000Q_6
188,p1,pp_local_search,1.5,8.0,"146803287362,282598066255",DW_2000Q_6
189,p1,pp_local_search,1.5,8.0,"267522673515,550314197130",DW_2000Q_6
190,p1,pp_local_search,1.5,8.0,"551985746715,431634428006",DW_2000Q_6
191,p1,pp_local_search,1.5,8.0,"556242665571,1807355334",DW_2000Q_6
192,p1,pp_local_search,1.5,8.0,"77719408946,591883102210",DW_2000Q_6
193,p1,pp_local_search,1.5,8.0,"714385268898,309328500807",DW_2000Q_6
194,p1,pp_local_search,1.5,10.0,"34732512306,868207911686",DW_2000Q_6
195,p1,pp_local_search,1.5,10.0,"27072268114,7215648803",DW_2000Q_6
196,p1,pp_local_search,1.5,10.0,"550001385730,176180171418",DW_2000Q_6
197,p1,pp_local_search,1.5,10.0,"430239269314,3201040430",DW_2000Q_6
198,p1,pp_local_search,1.5,10.0,"86103081746,174191600514",DW_2000Q_6
199,p1,pp_local_search,1.5,10.0,"620658483666,78278037547",DW_2000Q_6
200,p1,raw,1.75,0.0,"413939242256,98810610244",DW_2000Q_6
201,p1,raw,1.75,0.0,"176103756945,363385269062",DW_2000Q_6
202,p1,raw,1.75,0.0,"202139893773,551000482859",DW_2000Q_6
203,p1,raw,1.75,0.0,"725888596803,356225581349",DW_2000Q_6
204,p1,raw,1.75,0.0,"177215937397,911499441313",DW_2000Q_6
205,p1,raw,1.75,0.0,"161064436203,9304039939",DW_2000Q_6
206,p1,raw,1.75,0.0,"345847778665,35033491231",DW_2000Q_6
207,p1,raw,1.75,0.0,"731245477035,17217651484",DW_2000Q_6
208,p1,raw,1.75,0.0,"137597614219,580627620409",DW_2000Q_6
209,p1,raw,1.75,2.0,"670764125697,515566117517",DW_2000Q_6
210,p1,raw,1.75,2.0,"137643464745,34238244809",DW_2000Q_6
211,p1,raw,1.75,2.0,"332997627017,687699883705",DW_2000Q_6
212,p1,raw,1.75,2.0,"10754372807,185667430669",DW_2000Q_6
213,p1,raw,1.75,2.0,"241028466715,296916042061",DW_2000Q_6
214,p1,raw,1.75,2.0,"4443381769,793680812238",DW_2000Q_6
215,p1,raw,1.75,2.0,"332896036133,83025916689",DW_2000Q_6
216,p1,raw,1.75,2.0,"554092255267,10963521256",DW_2000Q_6
217,p1,raw,1.75,2.0,"19476973083,700384682699",DW_2000Q_6
218,p1,raw,1.75,2.0,"137443677227,2626405249",DW_2000Q_6
219,p1,raw,1.75,2.0,"139865620801,335648207403",DW_2000Q_6
220,p1,raw,1.75,2.0,"344777089197,564948372009",DW_2000Q_6
221,p1,raw,1.75,4.0,"55930080329,150158246335",DW_2000Q_6
222,p1,raw,1.75,4.0,"77454129426,37494309008",DW_2000Q_6
223,p1,raw,1.75,4.0,"142818858137,636530725761",DW_2000Q_6
224,p1,raw,1.75,4.0,"283890071109,41370075819",DW_2000Q_6
225,p1,raw,1.75,4.0,"305435821315,721851790099",DW_2000Q_6
226,p1,raw,1.75,4.0,"163622945083,894098808841",DW_2000Q_6
227,p1,raw,1.75,4.0,"141758335307,911927746577",DW_2000Q_6
228,p1,raw,1.75,4.0,"146035335690,828140716299",DW_2000Q_6
229,p1,raw,1.75,4.0,"281640851865,577487513103",DW_2000Q_6
230,p1,raw,1.75,4.0,"122677419801,413214498885",DW_2000Q_6
231,p1,raw,1.75,4.0,"163346164495,623491096723",DW_2000Q_6
232,p1,raw,1.75,4.0,"763204108398,17734224016",DW_2000Q_6
233,p1,raw,1.75,4.0,"146443207636,295951518729",DW_2000Q_6
234,p1,raw,1.75,4.0,"91294694011,415396014810",DW_2000Q_6
235,p1,raw,1.75,4.0,"601721640042,15708719398",DW_2000Q_6
236,p1,raw,1.75,4.0,"258396980018,16610706574",DW_2000Q_6
237,p1,raw,1.75,4.0,"451297706005,69601338259",DW_2000Q_6
238,p1,raw,1.75,4.0,"13223201585,1065236525250",DW_2000Q_6
239,p1,raw,1.75,4.0,"36658076497,567372957325",DW_2000Q_6
240,p1,raw,1.75,4.0,"39066994265,1059830925740",DW_2000Q_6
