,file,type,chain_strength,energy,input_values,qpu
0,0,raw,1.5,4.0,"152,187",Advantage4.1
1,0,raw,1.5,4.0,"143,155",Advantage4.1
2,0,raw,1.5,4.0,"75,11",Advantage4.1
3,0,raw,1.5,4.0,"183,4",Advantage4.1
4,0,raw,1.5,4.0,"175,142",Advantage4.1
5,0,raw,1.5,4.0,"139,155",Advantage4.1
6,0,raw,1.5,4.0,"13,3",Advantage4.1
7,0,raw,1.5,4.0,"250,138",Advantage4.1
8,0,raw,1.5,6.0,"111,2",Advantage4.1
9,0,raw,1.5,6.0,"200,235",Advantage4.1
10,0,raw,1.5,6.0,"99,170",Advantage4.1
11,0,raw,1.5,6.0,"230,4",Advantage4.1
12,0,raw,1.5,6.0,"79,59",Advantage4.1
13,0,raw,1.5,6.0,"107,251",Advantage4.1
14,0,raw,1.5,6.0,"123,10",Advantage4.1
15,0,raw,1.5,6.0,"77,43",Advantage4.1
16,0,raw,1.5,6.0,"111,2",Advantage4.1
17,0,raw,1.5,6.0,"8,35",Advantage4.1
18,0,raw,1.5,6.0,"55,2",Advantage4.1
19,0,raw,1.5,6.0,"178,52",Advantage4.1
20,0,raw,1.5,6.0,"217,25",Advantage4.1
21,0,raw,1.5,6.0,"219,26",Advantage4.1
22,0,raw,1.5,6.0,"43,91",Advantage4.1
23,0,raw,1.5,6.0,"199,5",Advantage4.1
24,0,raw,1.5,6.0,"238,132",Advantage4.1
25,0,raw,1.5,6.0,"158,152",Advantage4.1
26,0,raw,1.5,6.0,"41,175",Advantage4.1
27,0,raw,1.5,6.0,"207,2",Advantage4.1
28,0,raw,1.5,6.0,"143,66",Advantage4.1
29,0,raw,1.5,6.0,"66,127",Advantage4.1
30,0,raw,1.5,6.0,"186,50",Advantage4.1
31,0,raw,1.5,6.0,"159,217",Advantage4.1
32,0,raw,1.5,6.0,"219,146",Advantage4.1
33,0,raw,1.5,6.0,"22,83",Advantage4.1
34,0,raw,1.5,6.0,"45,82",Advantage4.1
35,0,raw,1.5,6.0,"15,50",Advantage4.1
36,0,raw,1.5,6.0,"223,209",Advantage4.1
37,0,raw,1.5,6.0,"63,97",Advantage4.1
38,0,raw,1.5,8.0,"170,186",Advantage4.1
