,file,type,chain_strength,energy,input_values,qpu
0,p25,raw,1.5,0.0,14457706020467978240,DW_2000Q_6
1,p25,raw,1.5,0.0,17651273083090186240,DW_2000Q_6
2,p25,raw,1.5,0.0,14470740987004368896,DW_2000Q_6
3,p25,raw,1.5,0.0,15390914171086819328,DW_2000Q_6
4,p25,raw,1.5,2.0,14166799758425309184,DW_2000Q_6
5,p25,raw,1.5,2.0,18051719324570685440,DW_2000Q_6
6,p25,raw,1.5,2.0,13981939089151442944,DW_2000Q_6
7,p25,raw,1.5,2.0,15061944612105052160,DW_2000Q_6
8,p25,raw,1.5,2.0,14595822049378545664,DW_2000Q_6
9,p25,raw,1.5,2.0,13840607296289585152,DW_2000Q_6
10,p25,raw,1.5,2.0,15674093991170942976,DW_2000Q_6
11,p25,raw,1.5,2.0,14980334385667057664,DW_2000Q_6
12,p25,raw,1.5,2.0,16435778338060144640,DW_2000Q_6
13,p25,raw,1.5,2.0,15748039388665499648,DW_2000Q_6
14,p25,raw,1.5,2.0,15034650268548737024,DW_2000Q_6
15,p25,raw,1.5,2.0,14233071240532600832,DW_2000Q_6
16,p25,raw,1.5,2.0,16884139356428959744,DW_2000Q_6
17,p25,raw,1.5,2.0,16745704408161587200,DW_2000Q_6
18,p25,raw,1.5,2.0,17910146430933536768,DW_2000Q_6
19,p25,raw,1.5,4.0,13943327790499043328,DW_2000Q_6
20,p25,raw,1.5,4.0,13903918615788390400,DW_2000Q_6
21,p25,raw,1.5,4.0,17516064657786996736,DW_2000Q_6
22,p25,raw,1.5,4.0,13961609653994561536,DW_2000Q_6
23,p25,raw,1.5,4.0,16862849478905137152,DW_2000Q_6
24,p25,raw,1.5,4.0,13934859570088544256,DW_2000Q_6
25,p25,raw,1.5,4.0,18122673206973796352,DW_2000Q_6
26,p25,raw,1.5,4.0,14160903152140206080,DW_2000Q_6
27,p25,raw,1.5,4.0,14762963280060784640,DW_2000Q_6
28,p25,raw,1.5,4.0,14820430631401492480,DW_2000Q_6
29,p25,raw,1.5,4.0,14251837086122645504,DW_2000Q_6
30,p25,raw,1.5,4.0,13911853314246807552,DW_2000Q_6
31,p25,raw,1.5,4.0,16188358957027577856,DW_2000Q_6
