,operator,cnf_vars8,cnf_vars64,clauses8,clauses64,clauses_to_var8,clauses_to_var64,vars8,vars64,avg_conn8,avg_conn64,variance_conn8,variance_conn64,max_conn8,max_conn64
0,add,41,377,127,1191,3.1,3.16,49,441,4.08,4.01,1.95,1.74,7,7
1,and,34,314,52,500,1.53,1.59,33,313,2.79,2.8,0.8,0.58,4,4
2,div,243,7327,950,38162,3.91,5.21,270,9342,4.84,6.12,4.81,70.07,17,129
3,eq,63,511,126,1022,2.0,2.0,62,510,3.45,3.49,0.25,0.25,4,4
4,ite,51,443,100,884,1.96,2.0,50,442,3.76,3.72,17.45,145.36,32,256
5,mul,118,6362,493,34457,4.18,5.42,145,8377,5.37,6.32,5.29,75.62,16,128
6,not,26,250,44,436,1.69,1.74,25,249,2.4,2.49,1.33,1.26,4,4
7,rem,239,7323,942,38154,3.94,5.21,266,9338,4.88,6.12,4.65,69.26,17,129
8,sub,70,630,244,2260,3.49,3.59,79,695,4.0,4.0,2.9,2.75,7,7
9,ult,57,449,180,1468,3.16,3.27,73,577,3.86,3.98,3.23,3.32,7,7
