,file,type,chain_strength,energy,input_values,qpu
0,p0001,raw,1.25,10.0,1309268132305303,DW_2000Q_6
1,p0001,raw,1.25,14.0,184450294389079,DW_2000Q_6
2,p0001,raw,1.25,14.0,36176980592990672,DW_2000Q_6
3,p0001,raw,1.25,14.0,396517173291782784,DW_2000Q_6
4,p0001,raw,1.25,16.0,429366473662280,DW_2000Q_6
5,p0001,raw,1.25,16.0,36880372768328328,DW_2000Q_6
6,p0001,raw,1.25,16.0,290086092609404480,DW_2000Q_6
7,p0001,raw,1.25,16.0,900867010112691584,DW_2000Q_6
8,p0001,raw,1.25,16.0,216320961411515200,DW_2000Q_6
9,p0001,raw,1.25,18.0,288446730562575168,DW_2000Q_6
10,p0001,raw,1.25,18.0,288518193407236544,DW_2000Q_6
11,p0001,raw,1.25,18.0,504583485375306112,DW_2000Q_6
12,p0001,raw,1.25,18.0,37356825301355992,DW_2000Q_6
13,p0001,raw,1.25,18.0,148303837609739,DW_2000Q_6
14,p0001,raw,1.25,18.0,36739926292107088,DW_2000Q_6
15,p0001,raw,1.25,18.0,182802073132887,DW_2000Q_6
16,p0001,raw,1.25,20.0,396464108958341568,DW_2000Q_6
17,p0001,raw,1.25,20.0,430753745869260,DW_2000Q_6
18,p0001,raw,1.25,20.0,147612876349223,DW_2000Q_6
19,p0001,raw,1.25,20.0,324441974181271936,DW_2000Q_6
20,p0001,raw,1.25,20.0,36173691741248328,DW_2000Q_6
21,p0001,raw,1.25,20.0,1271606072975180,DW_2000Q_6
22,p0001,raw,1.25,20.0,324407352437183296,DW_2000Q_6
23,p0001,raw,1.25,20.0,465663294906177,DW_2000Q_6
24,p0001,raw,1.25,20.0,324970307252523840,DW_2000Q_6
25,p0001,raw,1.25,20.0,1023392162910031,DW_2000Q_6
26,p0001,raw,1.25,22.0,37426021525818960,DW_2000Q_6
27,p0001,raw,1.25,22.0,161928542608342,DW_2000Q_6
28,p0001,raw,1.25,22.0,148162094702412,DW_2000Q_6
29,p0001,raw,1.25,22.0,165759633791376,DW_2000Q_6
30,p0001,raw,1.25,22.0,518164958370191,DW_2000Q_6
31,p0001,raw,1.25,22.0,1834831458015633,DW_2000Q_6
32,p0001,raw,1.25,22.0,36212693226887640,DW_2000Q_6
33,p0001,raw,1.25,22.0,45746008801877840,DW_2000Q_6
34,p0001,raw,1.25,22.0,37865809015954256,DW_2000Q_6
35,p0001,raw,1.25,22.0,144263380253751680,DW_2000Q_6
36,p0001,raw,1.25,22.0,288379660587703232,DW_2000Q_6
37,p0001,raw,1.25,22.0,72769260120676816,DW_2000Q_6
38,p0001,raw,1.25,22.0,432528459760606080,DW_2000Q_6
39,p0001,raw,1.25,22.0,144867842596425,DW_2000Q_6
