,file,type,chain_strength,energy,input_values,qpu
0,p1p,raw,1.25,6.0,147594231153336160,DW_2000Q_6
1,p1p,raw,1.25,10.0,184415221731864288,DW_2000Q_6
2,p1p,raw,1.25,10.0,147902012686765920,DW_2000Q_6
3,p1p,raw,1.25,12.0,256279855948140384,DW_2000Q_6
4,p1p,raw,1.25,12.0,112410945472446224,DW_2000Q_6
5,p1p,raw,1.25,12.0,147454039645359936,DW_2000Q_6
6,p1p,raw,1.25,12.0,148376529272033120,DW_2000Q_6
7,p1p,raw,1.25,12.0,3321804894523223,DW_2000Q_6
8,p1p,raw,1.25,12.0,112411637767638864,DW_2000Q_6
9,p1p,raw,1.25,12.0,148444166022692384,DW_2000Q_6
10,p1p,raw,1.25,14.0,39809097303723528,DW_2000Q_6
11,p1p,raw,1.25,14.0,147552436944531296,DW_2000Q_6
12,p1p,raw,1.25,14.0,184206873395367776,DW_2000Q_6
13,p1p,raw,1.25,14.0,40283584757632848,DW_2000Q_6
14,p1p,raw,1.25,14.0,111879331969711968,DW_2000Q_6
15,p1p,raw,1.25,14.0,3738790268620628,DW_2000Q_6
16,p1p,raw,1.25,14.0,148369940901039968,DW_2000Q_6
17,p1p,raw,1.25,14.0,148060415379775296,DW_2000Q_6
18,p1p,raw,1.25,14.0,112306233884675920,DW_2000Q_6
19,p1p,raw,1.25,16.0,183623427589017440,DW_2000Q_6
20,p1p,raw,1.25,16.0,183086488005807968,DW_2000Q_6
21,p1p,raw,1.25,16.0,39825315000721240,DW_2000Q_6
22,p1p,raw,1.25,16.0,40319266943668048,DW_2000Q_6
23,p1p,raw,1.25,16.0,183407519614377824,DW_2000Q_6
24,p1p,raw,1.25,16.0,183835221026901824,DW_2000Q_6
25,p1p,raw,1.25,16.0,184397105564716768,DW_2000Q_6
26,p1p,raw,1.25,16.0,147595386623344480,DW_2000Q_6
27,p1p,raw,1.25,16.0,110864500293488464,DW_2000Q_6
28,p1p,raw,1.25,16.0,4325109256572789,DW_2000Q_6
29,p1p,raw,1.25,16.0,39797960963821392,DW_2000Q_6
30,p1p,raw,1.25,16.0,183200815321419488,DW_2000Q_6
31,p1p,raw,1.25,16.0,255963192315527008,DW_2000Q_6
32,p1p,raw,1.25,16.0,148476817488142176,DW_2000Q_6
33,p1p,raw,1.25,16.0,148429847000125280,DW_2000Q_6
34,p1p,raw,1.25,16.0,148456248420503008,DW_2000Q_6
35,p1p,raw,1.25,16.0,184159443733233504,DW_2000Q_6
