,file,type,chain_strength,energy,input_values,qpu
0,p25,raw,1.5,0.0,4464004276353462272,DW_2000Q_6
1,p25,raw,1.5,0.0,3421842745844477440,DW_2000Q_6
2,p25,raw,1.5,0.0,4444436666713272320,DW_2000Q_6
3,p25,raw,1.5,0.0,3890354696356626432,DW_2000Q_6
4,p25,raw,1.5,0.0,4467331729407675904,DW_2000Q_6
5,p25,raw,1.5,0.0,4358301776879440896,DW_2000Q_6
6,p25,raw,1.5,0.0,3817855914013945856,DW_2000Q_6
7,p25,raw,1.5,0.0,4321918868590051328,DW_2000Q_6
8,p25,raw,1.5,0.0,4251377148158160384,DW_2000Q_6
9,p25,raw,1.5,0.0,1729043151595331584,DW_2000Q_6
10,p25,raw,1.5,0.0,863116463826530304,DW_2000Q_6
11,p25,raw,1.5,0.0,3349358257009065472,DW_2000Q_6
12,p25,raw,1.5,0.0,1871780471557226496,DW_2000Q_6
13,p25,raw,1.5,0.0,3458437683630551040,DW_2000Q_6
14,p25,raw,1.5,0.0,4251342367999541248,DW_2000Q_6
15,p25,raw,1.5,0.0,4537988364801900544,DW_2000Q_6
16,p25,raw,1.5,0.0,2627973183748148736,DW_2000Q_6
17,p25,raw,1.5,0.0,4440401640014142976,DW_2000Q_6
18,p25,raw,1.5,0.0,3457039963717807616,DW_2000Q_6
19,p25,raw,1.5,0.0,3312859044971929600,DW_2000Q_6
20,p25,raw,1.5,0.0,3166043675772530176,DW_2000Q_6
21,p25,raw,1.5,0.0,4033546169017671168,DW_2000Q_6
22,p25,raw,1.5,0.0,4394889658527628800,DW_2000Q_6
23,p25,raw,1.5,0.0,3709045091166845440,DW_2000Q_6
24,p25,raw,1.5,0.0,3421089111684145152,DW_2000Q_6
25,p25,raw,1.5,0.0,3020624385645952512,DW_2000Q_6
26,p25,raw,1.5,0.0,3272293749587726336,DW_2000Q_6
27,p25,raw,1.5,0.0,426793269611163392,DW_2000Q_6
28,p25,raw,1.5,0.0,4611092075626168320,DW_2000Q_6
29,p25,raw,1.5,0.0,4322271820413632512,DW_2000Q_6
30,p25,raw,1.5,0.0,1714256205896785664,DW_2000Q_6
31,p25,raw,1.5,0.0,3349379444075281920,DW_2000Q_6
32,p25,raw,1.5,0.0,2269251927158873600,DW_2000Q_6
33,p25,raw,1.5,0.0,4394007381286968832,DW_2000Q_6
34,p25,raw,1.5,0.0,2119475357978181632,DW_2000Q_6
35,p25,raw,1.5,0.0,3277336985508163584,DW_2000Q_6
36,p25,raw,1.5,0.0,4609718012111412736,DW_2000Q_6
37,p25,raw,1.5,0.0,2520193857118748672,DW_2000Q_6
38,p25,raw,1.5,0.0,4539374124473819136,DW_2000Q_6
39,p25,raw,1.5,0.0,4285530027687002112,DW_2000Q_6
40,p25,raw,1.5,0.0,3853958436421681152,DW_2000Q_6
41,p25,raw,1.5,0.0,4035008202418946048,DW_2000Q_6
42,p25,raw,1.5,0.0,3989418743826149376,DW_2000Q_6
43,p25,raw,1.5,0.0,2305571274943012096,DW_2000Q_6
44,p25,raw,1.5,0.0,4178913134928117760,DW_2000Q_6
45,p25,raw,1.5,0.0,359847752614895104,DW_2000Q_6
46,p25,raw,1.5,0.0,4071120876183961600,DW_2000Q_6
47,p25,raw,1.5,0.0,1945062319834177280,DW_2000Q_6
48,p25,raw,1.5,0.0,3411986409777451008,DW_2000Q_6
49,p25,raw,1.5,0.0,1691665641382268672,DW_2000Q_6
50,p25,raw,1.5,0.0,2305366713959620608,DW_2000Q_6
51,p25,raw,1.5,0.0,4610360814759025664,DW_2000Q_6
52,p25,raw,1.5,0.0,4575449979876007936,DW_2000Q_6
53,p25,raw,1.5,0.0,286901295804833440,DW_2000Q_6
54,p25,raw,1.5,0.0,3277900298936688640,DW_2000Q_6
55,p25,raw,1.5,0.0,4323186946911956992,DW_2000Q_6
56,p25,raw,1.5,0.0,3817806649287409664,DW_2000Q_6
57,p25,raw,1.5,0.0,4465814493592452608,DW_2000Q_6
58,p25,raw,1.5,0.0,3836098113228381696,DW_2000Q_6
59,p25,raw,1.5,0.0,3236802665417170944,DW_2000Q_6
60,p25,raw,1.5,0.0,3306251607559921152,DW_2000Q_6
61,p25,raw,1.5,0.0,3026027359945752064,DW_2000Q_6
62,p25,raw,1.5,0.0,4250033179664001024,DW_2000Q_6
63,p25,raw,1.5,0.0,2158991548990742272,DW_2000Q_6
64,p25,raw,1.5,0.0,2737458480254492672,DW_2000Q_6
65,p25,raw,1.5,0.0,1976757979980275456,DW_2000Q_6
66,p25,raw,1.5,0.0,971628108078415488,DW_2000Q_6
67,p25,raw,1.5,0.0,3863887079669083648,DW_2000Q_6
68,p25,raw,1.5,0.0,4440361185747066368,DW_2000Q_6
69,p25,raw,1.5,0.0,4566628976261725696,DW_2000Q_6
70,p25,raw,1.5,0.0,4413085768195968512,DW_2000Q_6
71,p25,raw,1.5,0.0,2016851633185701632,DW_2000Q_6
72,p25,raw,1.5,0.0,4357892200151346688,DW_2000Q_6
73,p25,raw,1.5,0.0,3565132105870130688,DW_2000Q_6
74,p25,raw,1.5,0.0,4538757550689779200,DW_2000Q_6
75,p25,raw,1.5,0.0,1565743365635424000,DW_2000Q_6
76,p25,raw,1.5,0.0,988624347313471232,DW_2000Q_6
77,p25,raw,1.5,0.0,3456599154085191168,DW_2000Q_6
78,p25,raw,1.5,0.0,4611364806185623040,DW_2000Q_6
79,p25,raw,1.5,0.0,4601394387716734976,DW_2000Q_6
80,p25,raw,1.5,0.0,3565428806722666496,DW_2000Q_6
81,p25,raw,1.5,0.0,4447717583734906368,DW_2000Q_6
82,p25,raw,1.5,0.0,2809059604501061120,DW_2000Q_6
83,p25,raw,1.5,0.0,4503044214678060544,DW_2000Q_6
84,p25,raw,1.5,0.0,2159657011156733952,DW_2000Q_6
85,p25,raw,1.5,0.0,2194143480925880064,DW_2000Q_6
86,p25,raw,1.5,0.0,4537902040510169088,DW_2000Q_6
87,p25,raw,1.5,0.0,2303738406132260352,DW_2000Q_6
88,p25,raw,1.5,0.0,3312738318685896192,DW_2000Q_6
89,p25,raw,1.5,0.0,3237910953935289344,DW_2000Q_6
90,p25,raw,1.5,0.0,2229094093800750848,DW_2000Q_6
91,p25,raw,1.5,0.0,935356284608724864,DW_2000Q_6
92,p25,raw,1.5,0.0,3561104805488676352,DW_2000Q_6
93,p25,raw,1.5,0.0,4255004253875113472,DW_2000Q_6
94,p25,raw,1.5,0.0,575478110471675392,DW_2000Q_6
95,p25,raw,1.5,0.0,2484842222030454784,DW_2000Q_6
96,p25,raw,1.5,0.0,3890394106966679552,DW_2000Q_6
97,p25,raw,1.5,0.0,1584466121272069888,DW_2000Q_6
98,p25,raw,1.5,0.0,3813639351291485184,DW_2000Q_6
99,p25,raw,1.5,0.0,4538687061990800896,DW_2000Q_6
100,p25,raw,1.5,2.0,2123875488155473664,DW_2000Q_6
101,p25,raw,1.5,2.0,3169905590262472192,DW_2000Q_6
102,p25,raw,1.5,2.0,4577883164682386944,DW_2000Q_6
103,p25,raw,1.5,2.0,3240590431502535680,DW_2000Q_6
104,p25,raw,1.5,2.0,2302693251699236608,DW_2000Q_6
105,p25,raw,1.5,2.0,4574252069773312000,DW_2000Q_6
106,p25,raw,1.5,2.0,4462810579574558720,DW_2000Q_6
107,p25,raw,1.5,2.0,3278107448765042176,DW_2000Q_6
108,p25,raw,1.5,2.0,2285826210058665472,DW_2000Q_6
109,p25,raw,1.5,2.0,3314393946451598848,DW_2000Q_6
110,p25,raw,1.5,2.0,3925626474732436992,DW_2000Q_6
111,p25,raw,1.5,2.0,4609661800299806208,DW_2000Q_6
112,p25,raw,1.5,2.0,4460725111948304384,DW_2000Q_6
113,p25,raw,1.5,2.0,4569828542201961984,DW_2000Q_6
114,p25,raw,1.5,2.0,2772535097791819264,DW_2000Q_6
115,p25,raw,1.5,2.0,4141751213857676800,DW_2000Q_6
116,p25,raw,1.5,2.0,2084961641191370496,DW_2000Q_6
117,p25,raw,1.5,2.0,2156903842237038592,DW_2000Q_6
118,p25,raw,1.5,2.0,2882009602912399360,DW_2000Q_6
119,p25,raw,1.5,2.0,4431473860850679808,DW_2000Q_6
120,p25,raw,1.5,2.0,3567952310568507904,DW_2000Q_6
121,p25,raw,1.5,2.0,4032990443839581696,DW_2000Q_6
122,p25,raw,1.5,2.0,2017163318544023552,DW_2000Q_6
123,p25,raw,1.5,2.0,863005362375581312,DW_2000Q_6
124,p25,raw,1.5,2.0,683001891069288064,DW_2000Q_6
125,p25,raw,1.5,2.0,2773007705202974720,DW_2000Q_6
126,p25,raw,1.5,2.0,2232455761212948224,DW_2000Q_6
127,p25,raw,1.5,2.0,4033824564874460672,DW_2000Q_6
128,p25,raw,1.5,2.0,3818879675575013376,DW_2000Q_6
129,p25,raw,1.5,2.0,4465442016294486016,DW_2000Q_6
130,p25,raw,1.5,2.0,1440462297983073792,DW_2000Q_6
131,p25,raw,1.5,2.0,1151778131717099008,DW_2000Q_6
132,p25,raw,1.5,2.0,971243408705601152,DW_2000Q_6
133,p25,raw,1.5,2.0,547957948615040832,DW_2000Q_6
134,p25,raw,1.5,2.0,4033899804295675904,DW_2000Q_6
135,p25,raw,1.5,2.0,2663939326164278784,DW_2000Q_6
136,p25,raw,1.5,2.0,4574903196060975104,DW_2000Q_6
137,p25,raw,1.5,2.0,3997339234110045696,DW_2000Q_6
138,p25,raw,1.5,2.0,3746852636331712512,DW_2000Q_6
139,p25,raw,1.5,2.0,2305670215145012992,DW_2000Q_6
140,p25,raw,1.5,2.0,3429985929947185152,DW_2000Q_6
141,p25,raw,1.5,2.0,1071869200729587328,DW_2000Q_6
142,p25,raw,1.5,2.0,1657140898350186240,DW_2000Q_6
143,p25,raw,1.5,2.0,4123473777432223232,DW_2000Q_6
144,p25,raw,1.5,2.0,3925612045678600192,DW_2000Q_6
145,p25,raw,1.5,2.0,576285508026752832,DW_2000Q_6
146,p25,raw,1.5,2.0,4609811083846917632,DW_2000Q_6
147,p25,raw,1.5,2.0,4569200301116583936,DW_2000Q_6
148,p25,raw,1.5,2.0,3889233812730240512,DW_2000Q_6
149,p25,raw,1.5,2.0,3862142292801606656,DW_2000Q_6
150,p25,raw,1.5,2.0,4593494306360793088,DW_2000Q_6
151,p25,raw,1.5,2.0,4033703309973896704,DW_2000Q_6
152,p25,raw,1.5,2.0,4430222249181756928,DW_2000Q_6
153,p25,raw,1.5,2.0,2161352855070846208,DW_2000Q_6
154,p25,raw,1.5,2.0,1720746812025786112,DW_2000Q_6
155,p25,raw,1.5,2.0,1692605305977675520,DW_2000Q_6
156,p25,raw,1.5,2.0,4250532611902455296,DW_2000Q_6
157,p25,raw,1.5,2.0,3738527352807980032,DW_2000Q_6
158,p25,raw,1.5,2.0,361137247867273088,DW_2000Q_6
159,p25,raw,1.5,2.0,719769637086304768,DW_2000Q_6
160,p25,raw,1.5,2.0,2664244874553589760,DW_2000Q_6
161,p25,raw,1.5,2.0,2160815560604778496,DW_2000Q_6
162,p25,raw,1.5,2.0,1868328639795232768,DW_2000Q_6
163,p25,raw,1.5,2.0,2443624816730947072,DW_2000Q_6
164,p25,raw,1.5,2.0,3638669698387655680,DW_2000Q_6
165,p25,raw,1.5,2.0,4359451878841061888,DW_2000Q_6
166,p25,raw,1.5,2.0,4033982289165467136,DW_2000Q_6
167,p25,raw,1.5,2.0,4033833057276532224,DW_2000Q_6
168,p25,raw,1.5,2.0,4466224456397487616,DW_2000Q_6
169,p25,raw,1.5,2.0,4465644262150247936,DW_2000Q_6
170,p25,raw,1.5,2.0,2412111717678972416,DW_2000Q_6
171,p25,raw,1.5,2.0,3350210673348441600,DW_2000Q_6
172,p25,raw,1.5,2.0,3890944687447390720,DW_2000Q_6
173,p25,raw,1.5,2.0,4458848296724996096,DW_2000Q_6
174,p25,raw,1.5,2.0,4511562528915073024,DW_2000Q_6
175,p25,raw,1.5,2.0,4448180407253327360,DW_2000Q_6
176,p25,raw,1.5,2.0,3889007493262606336,DW_2000Q_6
177,p25,raw,1.5,2.0,1007968849148849792,DW_2000Q_6
178,p25,raw,1.5,2.0,4179161213884472832,DW_2000Q_6
179,p25,raw,1.5,2.0,3091632753683897856,DW_2000Q_6
180,p25,raw,1.5,2.0,1727203548551614208,DW_2000Q_6
181,p25,raw,1.5,2.0,4206353059875827712,DW_2000Q_6
182,p25,raw,1.5,2.0,4538163678794981376,DW_2000Q_6
183,p25,raw,1.5,2.0,4529036638954123264,DW_2000Q_6
184,p25,raw,1.5,2.0,3972042746521550848,DW_2000Q_6
185,p25,raw,1.5,2.0,4457263867886510080,DW_2000Q_6
186,p25,raw,1.5,2.0,1053664156688736128,DW_2000Q_6
187,p25,raw,1.5,2.0,4033888612088733696,DW_2000Q_6
188,p25,raw,1.5,2.0,3330861624409955840,DW_2000Q_6
189,p25,raw,1.5,2.0,1548447189512158208,DW_2000Q_6
190,p25,raw,1.5,2.0,4420647272973581312,DW_2000Q_6
191,p25,raw,1.5,2.0,1900887791171313408,DW_2000Q_6
192,p25,raw,1.5,2.0,3385407957902265856,DW_2000Q_6
193,p25,raw,1.5,2.0,3997311605195877888,DW_2000Q_6
194,p25,raw,1.5,2.0,4015282297879607296,DW_2000Q_6
195,p25,raw,1.5,2.0,3596479178339106816,DW_2000Q_6
196,p25,raw,1.5,2.0,4585598915722124800,DW_2000Q_6
197,p25,raw,1.5,2.0,2304303555463573248,DW_2000Q_6
198,p25,raw,1.5,2.0,453227351613013568,DW_2000Q_6
199,p25,raw,1.5,2.0,990066231420903296,DW_2000Q_6
200,p25,raw,1.5,2.0,2121021545936060416,DW_2000Q_6
201,p25,raw,1.5,2.0,3384556266427752448,DW_2000Q_6
202,p25,raw,1.5,2.0,3781695210294804480,DW_2000Q_6
203,p25,raw,1.5,2.0,4429939911650483712,DW_2000Q_6
204,p25,raw,1.5,2.0,2052592319275876352,DW_2000Q_6
205,p25,raw,1.5,2.0,4322055898803211776,DW_2000Q_6
206,p25,raw,1.5,2.0,4465402257778662912,DW_2000Q_6
207,p25,raw,1.5,2.0,1836678631393115904,DW_2000Q_6
208,p25,raw,1.5,2.0,4394559881805864960,DW_2000Q_6
209,p25,raw,1.5,2.0,2954237162212515840,DW_2000Q_6
210,p25,raw,1.5,2.0,4431319467831541248,DW_2000Q_6
211,p25,raw,1.5,2.0,3278409473494499328,DW_2000Q_6
212,p25,raw,1.5,2.0,2088318496739728896,DW_2000Q_6
213,p25,raw,1.5,2.0,1007438377365974528,DW_2000Q_6
214,p25,raw,1.5,2.0,430795767848869696,DW_2000Q_6
215,p25,raw,1.5,2.0,3818313190252216320,DW_2000Q_6
216,p25,raw,1.5,2.0,4358219832825069568,DW_2000Q_6
217,p25,raw,1.5,2.0,4322275753995214848,DW_2000Q_6
218,p25,raw,1.5,2.0,3386230693468880384,DW_2000Q_6
219,p25,raw,1.5,2.0,4465827919176556032,DW_2000Q_6
220,p25,raw,1.5,2.0,1583695711885184512,DW_2000Q_6
221,p25,raw,1.5,2.0,1728244098947120640,DW_2000Q_6
222,p25,raw,1.5,2.0,3998018453087682560,DW_2000Q_6
223,p25,raw,1.5,2.0,4424514302344633856,DW_2000Q_6
224,p25,raw,1.5,2.0,1512757420328015616,DW_2000Q_6
225,p25,raw,1.5,2.0,1002720493298401152,DW_2000Q_6
226,p25,raw,1.5,2.0,2268128213551533568,DW_2000Q_6
227,p25,raw,1.5,2.0,3602636700474388480,DW_2000Q_6
228,p25,raw,1.5,2.0,502638278544363072,DW_2000Q_6
229,p25,raw,1.5,2.0,4609590881490701824,DW_2000Q_6
230,p25,raw,1.5,2.0,4034950284810972160,DW_2000Q_6
231,p25,raw,1.5,2.0,3457060064973160448,DW_2000Q_6
232,p25,raw,1.5,2.0,2268811392568483584,DW_2000Q_6
233,p25,raw,1.5,2.0,2231840120797904640,DW_2000Q_6
234,p25,raw,1.5,2.0,2231893584603172608,DW_2000Q_6
235,p25,raw,1.5,2.0,2844979206686481920,DW_2000Q_6
236,p25,raw,1.5,2.0,3386533230751059968,DW_2000Q_6
237,p25,raw,1.5,2.0,3422391318384975360,DW_2000Q_6
238,p25,raw,1.5,2.0,2088366455393128192,DW_2000Q_6
239,p25,raw,1.5,2.0,3891060040704093696,DW_2000Q_6
240,p25,raw,1.5,2.0,3241330367966871040,DW_2000Q_6
241,p25,raw,1.5,2.0,2269464399422590720,DW_2000Q_6
242,p25,raw,1.5,2.0,322363313921883328,DW_2000Q_6
243,p25,raw,1.5,2.0,4430926160297647616,DW_2000Q_6
244,p25,raw,1.5,2.0,3097140070001582080,DW_2000Q_6
245,p25,raw,1.5,2.0,2160005568828571648,DW_2000Q_6
246,p25,raw,1.5,2.0,3818888647896268288,DW_2000Q_6
247,p25,raw,1.5,2.0,3674121595738439168,DW_2000Q_6
248,p25,raw,1.5,2.0,2305727894621916672,DW_2000Q_6
249,p25,raw,1.5,2.0,4429514340463730688,DW_2000Q_6
250,p25,raw,1.5,2.0,2738040808827691008,DW_2000Q_6
251,p25,raw,1.5,2.0,2269789764609814016,DW_2000Q_6
252,p25,raw,1.5,2.0,4573413453062418432,DW_2000Q_6
253,p25,raw,1.5,2.0,4465427684324228608,DW_2000Q_6
254,p25,raw,1.5,2.0,3123665116972588544,DW_2000Q_6
255,p25,raw,1.5,2.0,34700420467523256,DW_2000Q_6
256,p25,raw,1.5,2.0,4592426646108774400,DW_2000Q_6
257,p25,raw,1.5,2.0,1721901152476856064,DW_2000Q_6
258,p25,raw,1.5,2.0,2790898933085937152,DW_2000Q_6
259,p25,raw,1.5,2.0,3908120965238668800,DW_2000Q_6
260,p25,raw,1.5,2.0,2098069890044567552,DW_2000Q_6
261,p25,raw,1.5,2.0,286579791759859680,DW_2000Q_6
262,p25,raw,1.5,2.0,1727383030572350208,DW_2000Q_6
263,p25,raw,1.5,2.0,2160546782217338880,DW_2000Q_6
264,p25,raw,1.5,2.0,2006712743863988224,DW_2000Q_6
265,p25,raw,1.5,2.0,4574076758647520768,DW_2000Q_6
266,p25,raw,1.5,2.0,540229228250250880,DW_2000Q_6
267,p25,raw,1.5,2.0,4574250685220224512,DW_2000Q_6
268,p25,raw,1.5,2.0,4574039410082078208,DW_2000Q_6
269,p25,raw,1.5,2.0,4179224845905485312,DW_2000Q_6
270,p25,raw,1.5,2.0,412763106965774272,DW_2000Q_6
271,p25,raw,1.5,2.0,691846594343886720,DW_2000Q_6
272,p25,raw,1.5,2.0,810527656518762240,DW_2000Q_6
273,p25,raw,1.5,2.0,4573690010954817536,DW_2000Q_6
274,p25,raw,1.5,2.0,2738023482480893440,DW_2000Q_6
275,p25,raw,1.5,2.0,4610580381289910272,DW_2000Q_6
276,p25,raw,1.5,4.0,2195590132950818560,DW_2000Q_6
277,p25,raw,1.5,4.0,2873978065722859520,DW_2000Q_6
278,p25,raw,1.5,4.0,3277516472134856704,DW_2000Q_6
279,p25,raw,1.5,4.0,4026615600248619008,DW_2000Q_6
280,p25,raw,1.5,4.0,4610332098161553408,DW_2000Q_6
281,p25,raw,1.5,4.0,3851992518782344704,DW_2000Q_6
282,p25,raw,1.5,4.0,3782203442368015872,DW_2000Q_6
283,p25,raw,1.5,4.0,4035015379632635904,DW_2000Q_6
284,p25,raw,1.5,4.0,755614188531498880,DW_2000Q_6
285,p25,raw,1.5,4.0,2160328807923105280,DW_2000Q_6
286,p25,raw,1.5,4.0,3854380689326333952,DW_2000Q_6
287,p25,raw,1.5,4.0,1855082462813814272,DW_2000Q_6
288,p25,raw,1.5,4.0,4610145848501665792,DW_2000Q_6
289,p25,raw,1.5,4.0,3393940439223082496,DW_2000Q_6
290,p25,raw,1.5,4.0,926736139765309312,DW_2000Q_6
291,p25,raw,1.5,4.0,2267861023885004288,DW_2000Q_6
292,p25,raw,1.5,4.0,1548986431543461376,DW_2000Q_6
293,p25,raw,1.5,4.0,972212091062746112,DW_2000Q_6
294,p25,raw,1.5,4.0,3782588108558512128,DW_2000Q_6
295,p25,raw,1.5,4.0,4394180473060769792,DW_2000Q_6
296,p25,raw,1.5,4.0,4539357625893936640,DW_2000Q_6
297,p25,raw,1.5,4.0,1008651679902973696,DW_2000Q_6
298,p25,raw,1.5,4.0,3998774234538246144,DW_2000Q_6
299,p25,raw,1.5,4.0,2266226887982809344,DW_2000Q_6
300,p25,raw,1.5,4.0,4502428062713901056,DW_2000Q_6
301,p25,raw,1.5,4.0,4573913928197193728,DW_2000Q_6
302,p25,raw,1.5,4.0,4389675738403032576,DW_2000Q_6
303,p25,raw,1.5,4.0,2665792326537547776,DW_2000Q_6
304,p25,raw,1.5,4.0,4501629284680769536,DW_2000Q_6
305,p25,raw,1.5,4.0,3709069975940816384,DW_2000Q_6
306,p25,raw,1.5,4.0,4105389895707475456,DW_2000Q_6
307,p25,raw,1.5,4.0,4465959942105513472,DW_2000Q_6
308,p25,raw,1.5,4.0,2160608869935361792,DW_2000Q_6
309,p25,raw,1.5,4.0,4394529769840836096,DW_2000Q_6
310,p25,raw,1.5,4.0,4178618869073215488,DW_2000Q_6
311,p25,raw,1.5,4.0,4430814551226204160,DW_2000Q_6
312,p25,raw,1.5,4.0,1512064788633214464,DW_2000Q_6
313,p25,raw,1.5,4.0,4610093001614441984,DW_2000Q_6
314,p25,raw,1.5,4.0,4215161134195851264,DW_2000Q_6
315,p25,raw,1.5,4.0,4394500980638162432,DW_2000Q_6
316,p25,raw,1.5,4.0,2123955833789988608,DW_2000Q_6
317,p25,raw,1.5,4.0,3799108089868353024,DW_2000Q_6
318,p25,raw,1.5,4.0,2233306822082289408,DW_2000Q_6
319,p25,raw,1.5,4.0,4218013309097680896,DW_2000Q_6
320,p25,raw,1.5,4.0,3438743169230339584,DW_2000Q_6
321,p25,raw,1.5,4.0,3313742223739645440,DW_2000Q_6
322,p25,raw,1.5,4.0,4358803836678025216,DW_2000Q_6
323,p25,raw,1.5,4.0,2160151906778005248,DW_2000Q_6
324,p25,raw,1.5,4.0,4250675557360426496,DW_2000Q_6
325,p25,raw,1.5,4.0,935323039150038912,DW_2000Q_6
326,p25,raw,1.5,4.0,4178513672707432448,DW_2000Q_6
327,p25,raw,1.5,4.0,2880203182116315136,DW_2000Q_6
328,p25,raw,1.5,4.0,3818792394630778880,DW_2000Q_6
329,p25,raw,1.5,4.0,323099737827446464,DW_2000Q_6
330,p25,raw,1.5,4.0,2015961516027834368,DW_2000Q_6
331,p25,raw,1.5,4.0,3350471138862678016,DW_2000Q_6
332,p25,raw,1.5,4.0,4466240206522453504,DW_2000Q_6
333,p25,raw,1.5,4.0,4606168513535959040,DW_2000Q_6
334,p25,raw,1.5,4.0,4339662176776535552,DW_2000Q_6
335,p25,raw,1.5,4.0,3855054218784835584,DW_2000Q_6
336,p25,raw,1.5,4.0,4502322526835449856,DW_2000Q_6
337,p25,raw,1.5,4.0,3421609129406791680,DW_2000Q_6
338,p25,raw,1.5,4.0,3637037589051424256,DW_2000Q_6
339,p25,raw,1.5,4.0,4609508847354568192,DW_2000Q_6
340,p25,raw,1.5,4.0,4577702164251344384,DW_2000Q_6
341,p25,raw,1.5,4.0,1151868309874115456,DW_2000Q_6
342,p25,raw,1.5,4.0,4497208006671236608,DW_2000Q_6
343,p25,raw,1.5,4.0,1148223106169425792,DW_2000Q_6
344,p25,raw,1.5,4.0,1295786355208544000,DW_2000Q_6
345,p25,raw,1.5,4.0,1494150531363942144,DW_2000Q_6
346,p25,raw,1.5,4.0,2266234179785711360,DW_2000Q_6
347,p25,raw,1.5,4.0,2260745298077495296,DW_2000Q_6
348,p25,raw,1.5,4.0,2773940550660449792,DW_2000Q_6
349,p25,raw,1.5,4.0,4464628261745458176,DW_2000Q_6
350,p25,raw,1.5,4.0,3997310389173779968,DW_2000Q_6
351,p25,raw,1.5,4.0,4178487090841354240,DW_2000Q_6
352,p25,raw,1.5,4.0,4029057537873944064,DW_2000Q_6
353,p25,raw,1.5,4.0,1549074280263810816,DW_2000Q_6
354,p25,raw,1.5,4.0,4068727973289311744,DW_2000Q_6
355,p25,raw,1.5,4.0,2872258601467837952,DW_2000Q_6
356,p25,raw,1.5,4.0,2159872618205568512,DW_2000Q_6
357,p25,raw,1.5,4.0,4466998723422645760,DW_2000Q_6
358,p25,raw,1.5,4.0,4467225402154106880,DW_2000Q_6
359,p25,raw,1.5,4.0,3891099478057262592,DW_2000Q_6
360,p25,raw,1.5,4.0,4603810345134226944,DW_2000Q_6
361,p25,raw,1.5,4.0,1565574380830130176,DW_2000Q_6
362,p25,raw,1.5,4.0,3286029140573064704,DW_2000Q_6
363,p25,raw,1.5,4.0,2261106741167234816,DW_2000Q_6
364,p25,raw,1.5,4.0,3916142478266723328,DW_2000Q_6
365,p25,raw,1.5,4.0,3999052922700647936,DW_2000Q_6
366,p25,raw,1.5,4.0,4467310877924284416,DW_2000Q_6
367,p25,raw,1.5,4.0,2305146992363716608,DW_2000Q_6
368,p25,raw,1.5,4.0,4611296348638121472,DW_2000Q_6
369,p25,raw,1.5,4.0,1576958746309357568,DW_2000Q_6
